"No.","Time","Source","Destination","Protocol","Length","Info"
"15717","104.043115000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15718","104.043352000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15720","104.044902000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15722","104.045108000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15723","104.046928000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15725","104.047107000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15726","104.048866000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15727","104.048870000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15729","104.050766000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15730","104.050770000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15732","104.052616000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"15733","104.052620000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15735","104.054599000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15736","104.054604000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15738","104.056551000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15739","104.056554000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15741","104.060429000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15743","104.060630000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15744","104.060634000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15745","104.060635000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15748","104.062055000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15749","104.062308000","173.194.28.156","192.168.0.109","TCP","1458","[TCP Previous segment not captured] [TCP segment of a reassembled PDU]"
"15751","104.064074000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15752","104.064077000","173.194.28.156","192.168.0.109","TLSv1.2","1458","[TCP Out-Of-Order] Application Data"
"15755","104.065952000","173.194.28.156","192.168.0.109","TCP","1458","[TCP Out-Of-Order] [TCP segment of a reassembled PDU]"
"15757","104.066127000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15759","104.067954000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15760","104.067960000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15762","104.069798000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15764","104.069974000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15765","104.071774000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15766","104.071778000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15768","104.073592000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15769","104.073598000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"15771","104.075574000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
